Dates,yesterday price,dates +1,today's price
Jun-22-2020,1450.66,Jun-23-2020,1463.98
Jun-23-2020,1463.98,Jun-24-2020,1432.70
Jun-24-2020,1432.70,Jun-25-2020,1441.10
Jun-25-2020,1441.10,Jun-26-2020,1362.54
Jun-26-2020,1362.54,Jun-29-2020,1397.17
Jun-29-2020,1397.17,Jun-30-2020,1418.05
Jun-30-2020,1418.05,Jul-01-2020,1442.00
Jul-01-2020,1442.00,Jul-02-2020,1469.93
Jul-02-2020,1469.93,Jul-06-2020,1499.65
Jul-06-2020,1499.65,Jul-07-2020,1489.92
Jul-07-2020,1489.92,Jul-08-2020,1503.60
Jul-08-2020,1503.60,Jul-09-2020,1518.66
Jul-09-2020,1518.66,Jul-10-2020,1539.01
Jul-10-2020,1539.01,Jul-13-2020,1512.23
Jul-13-2020,1512.23,Jul-14-2020,1520.86
Jul-14-2020,1520.86,Jul-15-2020,1516.88
Jul-15-2020,1516.88,Jul-16-2020,1514.92
Jul-16-2020,1514.92,Jul-17-2020,1516.85
Jul-17-2020,1516.85,Jul-20-2020,1563.84
Jul-20-2020,1563.84,Jul-21-2020,1555.92
Jul-21-2020,1555.92,Jul-22-2020,1564.85
Jul-22-2020,1564.85,Jul-23-2020,1516.75
Jul-23-2020,1516.75,Jul-24-2020,1508.21
Jul-24-2020,1508.21,Jul-27-2020,1529.43
Jul-27-2020,1529.43,Jul-28-2020,1503.65
Jul-28-2020,1503.65,Jul-29-2020,1523.51
Jul-29-2020,1523.51,Jul-30-2020,1538.37
Jul-30-2020,1538.37,Jul-31-2020,1487.95
Jul-31-2020,1487.95,Aug-03-2020,1482.76
Aug-03-2020,1482.76,Aug-04-2020,1473.30
Aug-04-2020,1473.30,Aug-05-2020,1479.09
Aug-05-2020,1479.09,Aug-06-2020,1504.95
Aug-06-2020,1504.95,Aug-07-2020,1498.37
Aug-07-2020,1498.37,Aug-10-2020,1496.82
Aug-10-2020,1496.82,Aug-11-2020,1480.54
Aug-11-2020,1480.54,Aug-12-2020,1507.24
Aug-12-2020,1507.24,Aug-13-2020,1516.65
Aug-13-2020,1516.65,Aug-14-2020,1504.63
Aug-14-2020,1504.63,Aug-17-2020,1516.24
Aug-17-2020,1516.24,Aug-18-2020,1555.78
Aug-18-2020,1555.78,Aug-19-2020,1544.61
Aug-19-2020,1544.61,Aug-20-2020,1576.25
Aug-20-2020,1576.25,Aug-21-2020,1575.57
Aug-21-2020,1575.57,Aug-24-2020,1585.15
Aug-24-2020,1585.15,Aug-25-2020,1605.85
Aug-25-2020,1605.85,Aug-26-2020,1644.13
Aug-26-2020,1644.13,Aug-27-2020,1628.52
Aug-27-2020,1628.52,Aug-28-2020,1639.43
Aug-28-2020,1639.43,Aug-31-2020,1629.53
Aug-31-2020,1629.53,Sep-01-2020,1655.08
Sep-01-2020,1655.08,Sep-02-2020,1717.39
Sep-02-2020,1717.39,Sep-03-2020,1629.51
Sep-03-2020,1629.51,Sep-04-2020,1581.21
Sep-04-2020,1581.21,Sep-08-2020,1523.60
Sep-08-2020,1523.60,Sep-09-2020,1547.23
Sep-09-2020,1547.23,Sep-10-2020,1526.05
Sep-10-2020,1526.05,Sep-11-2020,1515.76
Sep-11-2020,1515.76,Sep-14-2020,1508.83
Sep-14-2020,1508.83,Sep-15-2020,1535.12
Sep-15-2020,1535.12,Sep-16-2020,1512.09
Sep-16-2020,1512.09,Sep-17-2020,1487.04
Sep-17-2020,1487.04,Sep-18-2020,1451.09
Sep-18-2020,1451.09,Sep-21-2020,1430.14
Sep-21-2020,1430.14,Sep-22-2020,1459.82
Sep-22-2020,1459.82,Sep-23-2020,1409.39
Sep-23-2020,1409.39,Sep-24-2020,1422.86
Sep-24-2020,1422.86,Sep-25-2020,1439.06
Sep-25-2020,1439.06,Sep-28-2020,1458.66
Sep-28-2020,1458.66,Sep-29-2020,1466.02
Sep-29-2020,1466.02,Sep-30-2020,1465.60
Sep-30-2020,1465.60,Oct-01-2020,1487.90
Oct-01-2020,1487.90,Oct-02-2020,1455.60
Oct-02-2020,1455.60,Oct-05-2020,1482.83
Oct-05-2020,1482.83,Oct-06-2020,1451.02
Oct-06-2020,1451.02,Oct-07-2020,1459.14
Oct-07-2020,1459.14,Oct-08-2020,1483.43
Oct-08-2020,1483.43,Oct-09-2020,1510.45
Oct-09-2020,1510.45,Oct-12-2020,1564.59
Oct-12-2020,1564.59,Oct-13-2020,1567.07
Oct-13-2020,1567.07,Oct-14-2020,1563.44
Oct-14-2020,1563.44,Oct-15-2020,1555.47
Oct-15-2020,1555.47,Oct-16-2020,1567.70
Oct-16-2020,1567.70,Oct-19-2020,1529.95
Oct-19-2020,1529.95,Oct-20-2020,1551.08
Oct-20-2020,1551.08,Oct-21-2020,1585.99
Oct-21-2020,1585.99,Oct-22-2020,1606.66
Oct-22-2020,1606.66,Oct-23-2020,1632.98
Oct-23-2020,1632.98,Oct-26-2020,1584.29
Oct-26-2020,1584.29,Oct-27-2020,1598.88
Oct-27-2020,1598.88,Oct-28-2020,1510.80
Oct-28-2020,1510.80,Oct-29-2020,1556.88
Oct-29-2020,1556.88,Oct-30-2020,1616.11
Oct-30-2020,1616.11,Nov-02-2020,1624.32
Nov-02-2020,1624.32,Nov-03-2020,1645.66
Nov-03-2020,1645.66,Nov-04-2020,1745.85
Nov-04-2020,1745.85,Nov-05-2020,1762.50
Nov-05-2020,1762.50,Nov-06-2020,1759.73
Nov-06-2020,1759.73,Nov-09-2020,1761.42
Nov-09-2020,1761.42,Nov-10-2020,1737.72
Nov-10-2020,1737.72,Nov-11-2020,1747.23
Nov-11-2020,1747.23,Nov-12-2020,1742.82
Nov-12-2020,1742.82,Nov-13-2020,1772.26
Nov-13-2020,1772.26,Nov-16-2020,1774.03
Nov-16-2020,1774.03,Nov-17-2020,1761.66
Nov-17-2020,1761.66,Nov-18-2020,1740.64
Nov-18-2020,1740.64,Nov-19-2020,1758.57
Nov-19-2020,1758.57,Nov-20-2020,1736.38
Nov-20-2020,1736.38,Nov-23-2020,1727.56
Nov-23-2020,1727.56,Nov-24-2020,1763.90
Nov-24-2020,1763.90,Nov-25-2020,1764.13
Nov-25-2020,1764.13,Nov-27-2020,1787.02
Nov-27-2020,1787.02,Nov-30-2020,1754.40
Nov-30-2020,1754.40,Dec-01-2020,1795.36
Dec-01-2020,1795.36,Dec-02-2020,1824.97
Dec-02-2020,1824.97,Dec-03-2020,1821.84
Dec-03-2020,1821.84,Dec-04-2020,1823.76
Dec-04-2020,1823.76,Dec-07-2020,1817.03
Dec-07-2020,1817.03,Dec-08-2020,1811.33
Dec-08-2020,1811.33,Dec-09-2020,1777.86
Dec-09-2020,1777.86,Dec-10-2020,1767.65
Dec-10-2020,1767.65,Dec-11-2020,1774.80
Dec-11-2020,1774.80,Dec-14-2020,1752.26
Dec-14-2020,1752.26,Dec-15-2020,1761.08
Dec-15-2020,1761.08,Dec-16-2020,1757.19
Dec-16-2020,1757.19,Dec-17-2020,1740.51
Dec-17-2020,1740.51,Dec-18-2020,1726.22
Dec-18-2020,1726.22,Dec-21-2020,1734.56
Dec-21-2020,1734.56,Dec-22-2020,1720.22
Dec-22-2020,1720.22,Dec-23-2020,1728.23
Dec-23-2020,1728.23,Dec-24-2020,1734.16
Dec-24-2020,1734.16,Dec-28-2020,1773.96
Dec-28-2020,1773.96,Dec-29-2020,1757.76
Dec-29-2020,1757.76,Dec-30-2020,1736.25
Dec-30-2020,1736.25,Dec-31-2020,1752.64
Dec-31-2020,1752.64,Jan-04-2021,1726.13
Jan-04-2021,1726.13,Jan-05-2021,1740.05
Jan-05-2021,1740.05,Jan-06-2021,1722.88
Jan-06-2021,1722.88,Jan-07-2021,1774.34
Jan-07-2021,1774.34,Jan-08-2021,1797.83
Jan-08-2021,1797.83,Jan-11-2021,1756.29
Jan-11-2021,1756.29,Jan-12-2021,1737.43
Jan-12-2021,1737.43,Jan-13-2021,1747.25
Jan-13-2021,1747.25,Jan-14-2021,1730.92
Jan-14-2021,1730.92,Jan-15-2021,1727.62
Jan-15-2021,1727.62,Jan-19-2021,1784.47
Jan-19-2021,1784.47,Jan-20-2021,1880.07
Jan-20-2021,1880.07,Jan-21-2021,1884.15
Jan-21-2021,1884.15,Jan-22-2021,1892.56
Jan-22-2021,1892.56,Jan-25-2021,1894.28
Jan-25-2021,1894.28,Jan-26-2021,1907.95
Jan-26-2021,1907.95,Jan-27-2021,1818.94
Jan-27-2021,1818.94,Jan-28-2021,1853.20
Jan-28-2021,1853.20,Jan-29-2021,1827.36
Jan-29-2021,1827.36,Feb-01-2021,1893.07
Feb-01-2021,1893.07,Feb-02-2021,1919.12
Feb-02-2021,1919.12,Feb-03-2021,2058.88
Feb-03-2021,2058.88,Feb-04-2021,2053.63
Feb-04-2021,2053.63,Feb-05-2021,2088.83
Feb-05-2021,2088.83,Feb-08-2021,2084.52
Feb-08-2021,2084.52,Feb-09-2021,2075.39
Feb-09-2021,2075.39,Feb-10-2021,2086.48
Feb-10-2021,2086.48,Feb-11-2021,2088.75
Feb-11-2021,2088.75,Feb-12-2021,2095.03
Feb-12-2021,2095.03,Feb-16-2021,2110.70
Feb-16-2021,2110.70,Feb-17-2021,2118.62
Feb-17-2021,2118.62,Feb-18-2021,2105.81
Feb-18-2021,2105.81,Feb-19-2021,2088.81
Feb-19-2021,2088.81,Feb-22-2021,2054.26
Feb-22-2021,2054.26,Feb-23-2021,2060.12
Feb-23-2021,2060.12,Feb-24-2021,2083.81
Feb-24-2021,2083.81,Feb-25-2021,2015.95
Feb-25-2021,2015.95,Feb-26-2021,2021.91
Feb-26-2021,2021.91,Mar-01-2021,2069.66
Mar-01-2021,2069.66,Mar-02-2021,2064.48
Mar-02-2021,2064.48,Mar-03-2021,2011.41
Mar-03-2021,2011.41,Mar-04-2021,2033.93
Mar-04-2021,2033.93,Mar-05-2021,2097.07
Mar-05-2021,2097.07,Mar-08-2021,2007.50
Mar-08-2021,2007.50,Mar-09-2021,2040.36
Mar-09-2021,2040.36,Mar-10-2021,2036.19
Mar-10-2021,2036.19,Mar-11-2021,2100.54
Mar-11-2021,2100.54,Mar-12-2021,2050.00
Mar-12-2021,2050.00,Mar-15-2021,2054.44
Mar-15-2021,2054.44,Mar-16-2021,2083.89
Mar-16-2021,2083.89,Mar-17-2021,2082.22
Mar-17-2021,2082.22,Mar-18-2021,2021.34
Mar-18-2021,2021.34,Mar-19-2021,2026.96
Mar-19-2021,2026.96,Mar-22-2021,2030.69
Mar-22-2021,2030.69,Mar-23-2021,2041.33
Mar-23-2021,2041.33,Mar-24-2021,2032.53
Mar-24-2021,2032.53,Mar-25-2021,2032.46
Mar-25-2021,2032.46,Mar-26-2021,2024.73
Mar-26-2021,2024.73,Mar-29-2021,2045.79
Mar-29-2021,2045.79,Mar-30-2021,2046.47
Mar-30-2021,2046.47,Mar-31-2021,2062.52
Mar-31-2021,2062.52,Apr-01-2021,2129.78
Apr-01-2021,2129.78,Apr-05-2021,2218.96
Apr-05-2021,2218.96,Apr-06-2021,2209.26
Apr-06-2021,2209.26,Apr-07-2021,2239.03
Apr-07-2021,2239.03,Apr-08-2021,2250.43
Apr-08-2021,2250.43,Apr-09-2021,2270.67
Apr-09-2021,2270.67,Apr-12-2021,2244.62
Apr-12-2021,2244.62,Apr-13-2021,2254.43
Apr-13-2021,2254.43,Apr-14-2021,2241.91
Apr-14-2021,2241.91,Apr-15-2021,2285.25
Apr-15-2021,2285.25,Apr-16-2021,2282.75
Apr-16-2021,2282.75,Apr-19-2021,2289.76
Apr-19-2021,2289.76,Apr-20-2021,2279.01
Apr-20-2021,2279.01,Apr-21-2021,2278.35
Apr-21-2021,2278.35,Apr-22-2021,2252.52
Apr-22-2021,2252.52,Apr-23-2021,2299.93
Apr-23-2021,2299.93,Apr-26-2021,2309.93
Apr-26-2021,2309.93,Apr-27-2021,2290.98
Apr-27-2021,2290.98,Apr-28-2021,2359.04
Apr-28-2021,2359.04,Apr-29-2021,2392.76
Apr-29-2021,2392.76,Apr-30-2021,2353.50
Apr-30-2021,2353.50,May-03-2021,2343.08
May-03-2021,2343.08,May-04-2021,2306.83
May-04-2021,2306.83,May-05-2021,2314.77
May-05-2021,2314.77,May-06-2021,2337.35
May-06-2021,2337.35,May-07-2021,2351.93
May-07-2021,2351.93,May-10-2021,2291.75
May-10-2021,2291.75,May-11-2021,2270.06
May-11-2021,2270.06,May-12-2021,2200.25
May-12-2021,2200.25,May-13-2021,2229.04
May-13-2021,2229.04,May-14-2021,2278.38
May-14-2021,2278.38,May-17-2021,2288.92
May-17-2021,2288.92,May-18-2021,2262.47
May-18-2021,2262.47,May-19-2021,2271.50
May-19-2021,2271.50,May-20-2021,2306.95
May-20-2021,2306.95,May-21-2021,2294.13
May-21-2021,2294.13,May-24-2021,2361.04
May-24-2021,2361.04,May-25-2021,2362.87
May-25-2021,2362.87,May-26-2021,2380.31
May-26-2021,2380.31,May-27-2021,2362.68
May-27-2021,2362.68,May-28-2021,2356.85
May-28-2021,2356.85,Jun-01-2021,2381.18
Jun-01-2021,2381.18,Jun-02-2021,2370.59
Jun-02-2021,2370.59,Jun-03-2021,2347.58
Jun-03-2021,2347.58,Jun-04-2021,2393.57
Jun-04-2021,2393.57,Jun-07-2021,2402.30
Jun-07-2021,2402.30,Jun-08-2021,2398.44
Jun-08-2021,2398.44,Jun-09-2021,2407.94
Jun-09-2021,2407.94,Jun-10-2021,2435.13
Jun-10-2021,2435.13,Jun-11-2021,2430.20
Jun-11-2021,2430.20,Jun-14-2021,2448.91
Jun-14-2021,2448.91,Jun-15-2021,2428.39
Jun-15-2021,2428.39,Jun-16-2021,2415.45
Jun-16-2021,2415.45,Jun-17-2021,2434.87
Jun-17-2021,2434.87,Jun-18-2021,2402.22
Jun-18-2021,2402.22,Jun-21-2021,2436.25
Jun-21-2021,2436.25,Jun-22-2021,2446.61
Jun-22-2021,2446.61,Jun-23-2021,2442.54
Jun-23-2021,2442.54,Jun-24-2021,2450.00
Jun-24-2021,2450.00,Jun-25-2021,2450.17
Jun-25-2021,2450.17,Jun-28-2021,2450.72
Jun-28-2021,2450.72,Jun-29-2021,2445.45
Jun-29-2021,2445.45,Jun-30-2021,2441.79
Jun-30-2021,2441.79,Jul-01-2021,2448.89
Jul-01-2021,2448.89,Jul-02-2021,2505.15
Jul-02-2021,2505.15,Jul-06-2021,2523.80
Jul-06-2021,2523.80,Jul-07-2021,2529.48
Jul-07-2021,2529.48,Jul-08-2021,2500.88
Jul-08-2021,2500.88,Jul-09-2021,2510.37
Jul-09-2021,2510.37,Jul-12-2021,2539.51
Jul-12-2021,2539.51,Jul-13-2021,2546.83
Jul-13-2021,2546.83,Jul-14-2021,2564.74
Jul-14-2021,2564.74,Jul-15-2021,2540.10
Jul-15-2021,2540.10,Jul-16-2021,2539.40
Jul-16-2021,2539.40,Jul-19-2021,2491.56
Jul-19-2021,2491.56,Jul-20-2021,2524.19
Jul-20-2021,2524.19,Jul-21-2021,2550.98
Jul-21-2021,2550.98,Jul-22-2021,2568.43
Jul-22-2021,2568.43,Jul-23-2021,2660.30
Jul-23-2021,2660.30,Jul-26-2021,2680.70
Jul-26-2021,2680.70,Jul-27-2021,2638.00
Jul-27-2021,2638.00,Jul-28-2021,2721.88
Jul-28-2021,2721.88,Jul-29-2021,2715.55
Jul-29-2021,2715.55,Jul-30-2021,2694.53
Jul-30-2021,2694.53,Aug-02-2021,2697.09
Aug-02-2021,2697.09,Aug-03-2021,2712.60
Aug-03-2021,2712.60,Aug-04-2021,2702.51
Aug-04-2021,2702.51,Aug-05-2021,2725.03
Aug-05-2021,2725.03,Aug-06-2021,2714.77
Aug-06-2021,2714.77,Aug-09-2021,2738.26
Aug-09-2021,2738.26,Aug-10-2021,2736.14
Aug-10-2021,2736.14,Aug-11-2021,2725.58
Aug-11-2021,2725.58,Aug-12-2021,2743.88
Aug-12-2021,2743.88,Aug-13-2021,2754.55
Aug-13-2021,2754.55,Aug-16-2021,2766.19
Aug-16-2021,2766.19,Aug-17-2021,2733.23
Aug-17-2021,2733.23,Aug-18-2021,2708.98
Aug-18-2021,2708.98,Aug-19-2021,2713.60
Aug-19-2021,2713.60,Aug-20-2021,2748.59
Aug-20-2021,2748.59,Aug-23-2021,2800.83
Aug-23-2021,2800.83,Aug-24-2021,2825.23
Aug-24-2021,2825.23,Aug-25-2021,2841.58
Aug-25-2021,2841.58,Aug-26-2021,2828.81
Aug-26-2021,2828.81,Aug-27-2021,2880.08
Aug-27-2021,2880.08,Aug-30-2021,2891.81
Aug-30-2021,2891.81,Aug-31-2021,2893.95
Aug-31-2021,2893.95,Sep-01-2021,2904.31
Sep-01-2021,2904.31,Sep-02-2021,2865.74
Sep-02-2021,2865.74,Sep-03-2021,2874.79
Sep-03-2021,2874.79,Sep-07-2021,2885.61
Sep-07-2021,2885.61,Sep-08-2021,2873.82
Sep-08-2021,2873.82,Sep-09-2021,2870.82
Sep-09-2021,2870.82,Sep-10-2021,2817.52
Sep-10-2021,2817.52,Sep-13-2021,2846.65
Sep-13-2021,2846.65,Sep-14-2021,2850.89
Sep-14-2021,2850.89,Sep-15-2021,2888.59
Sep-15-2021,2888.59,Sep-16-2021,2872.20
Sep-16-2021,2872.20,Sep-17-2021,2816.00
Sep-17-2021,2816.00,Sep-20-2021,2774.39
Sep-20-2021,2774.39,Sep-21-2021,2780.66
Sep-21-2021,2780.66,Sep-22-2021,2805.67
Sep-22-2021,2805.67,Sep-23-2021,2824.32
Sep-23-2021,2824.32,Sep-24-2021,2844.30
Sep-24-2021,2844.30,Sep-27-2021,2821.44
Sep-27-2021,2821.44,Sep-28-2021,2716.60
Sep-28-2021,2716.60,Sep-29-2021,2687.07
Sep-29-2021,2687.07,Sep-30-2021,2673.52
Sep-30-2021,2673.52,Oct-01-2021,2730.86
Oct-01-2021,2730.86,Oct-04-2021,2673.19
Oct-04-2021,2673.19,Oct-05-2021,2720.46
Oct-05-2021,2720.46,Oct-06-2021,2751.30
Oct-06-2021,2751.30,Oct-07-2021,2784.50
Oct-07-2021,2784.50,Oct-08-2021,2795.71
Oct-08-2021,2795.71,Oct-11-2021,2778.28
Oct-11-2021,2778.28,Oct-12-2021,2728.98
Oct-12-2021,2728.98,Oct-13-2021,2751.64
Oct-13-2021,2751.64,Oct-14-2021,2823.02
Oct-14-2021,2823.02,Oct-15-2021,2827.36
Oct-15-2021,2827.36,Oct-18-2021,2855.56
Oct-18-2021,2855.56,Oct-19-2021,2864.74
Oct-19-2021,2864.74,Oct-20-2021,2835.38
Oct-20-2021,2835.38,Oct-21-2021,2837.72
Oct-21-2021,2837.72,Oct-22-2021,2751.33
Oct-22-2021,2751.33,Oct-25-2021,2748.94
Oct-25-2021,2748.94,Oct-26-2021,2786.17
Oct-26-2021,2786.17,Oct-27-2021,2924.35
Oct-27-2021,2924.35,Oct-28-2021,2916.98
Oct-28-2021,2916.98,Oct-29-2021,2960.92
Oct-29-2021,2960.92,Nov-01-2021,2869.94
Nov-01-2021,2869.94,Nov-02-2021,2908.65
Nov-02-2021,2908.65,Nov-03-2021,2931.96
Nov-03-2021,2931.96,Nov-04-2021,2965.35
Nov-04-2021,2965.35,Nov-05-2021,2977.04
Nov-05-2021,2977.04,Nov-08-2021,2980.62
Nov-08-2021,2980.62,Nov-09-2021,2978.37
Nov-09-2021,2978.37,Nov-10-2021,2917.87
Nov-10-2021,2917.87,Nov-11-2021,2915.33
Nov-11-2021,2915.33,Nov-12-2021,2973.56
Nov-12-2021,2973.56,Nov-15-2021,2969.04
Nov-15-2021,2969.04,Nov-16-2021,2957.52
Nov-16-2021,2957.52,Nov-17-2021,2960.94
Nov-17-2021,2960.94,Nov-18-2021,2996.77
Nov-18-2021,2996.77,Nov-19-2021,2978.53
Nov-19-2021,2978.53,Nov-22-2021,2926.04
Nov-22-2021,2926.04,Nov-23-2021,2915.64
Nov-23-2021,2915.64,Nov-24-2021,2922.40
Nov-24-2021,2922.40,Nov-26-2021,2843.66
Nov-26-2021,2843.66,Nov-29-2021,2910.61
Nov-29-2021,2910.61,Nov-30-2021,2837.95
Nov-30-2021,2837.95,Dec-01-2021,2821.03
Dec-01-2021,2821.03,Dec-02-2021,2859.32
Dec-02-2021,2859.32,Dec-03-2021,2840.03
Dec-03-2021,2840.03,Dec-06-2021,2863.10
Dec-06-2021,2863.10,Dec-07-2021,2945.39
Dec-07-2021,2945.39,Dec-08-2021,2963.73
Dec-08-2021,2963.73,Dec-09-2021,2952.77
Dec-09-2021,2952.77,Dec-10-2021,2960.03
Dec-10-2021,2960.03,Dec-13-2021,2916.53
Dec-13-2021,2916.53,Dec-14-2021,2878.14
Dec-14-2021,2878.14,Dec-15-2021,2928.82
Dec-15-2021,2928.82,Dec-16-2021,2888.90
Dec-16-2021,2888.90,Dec-17-2021,2834.50
Dec-17-2021,2834.50,Dec-20-2021,2832.14
Dec-20-2021,2832.14,Dec-21-2021,2869.45
Dec-21-2021,2869.45,Dec-22-2021,2928.30
Dec-22-2021,2928.30,Dec-23-2021,2938.33
Dec-23-2021,2938.33,Dec-27-2021,2958.13
Dec-27-2021,2958.13,Dec-28-2021,2933.74
Dec-28-2021,2933.74,Dec-29-2021,2933.10
Dec-29-2021,2933.10,Dec-30-2021,2924.01
Dec-30-2021,2924.01,Dec-31-2021,2897.04
Dec-31-2021,2897.04,Jan-03-2022,2899.83
Jan-03-2022,2899.83,Jan-04-2022,2887.99
Jan-04-2022,2887.99,Jan-05-2022,2755.50
Jan-05-2022,2755.50,Jan-06-2022,2754.95
Jan-06-2022,2754.95,Jan-07-2022,2740.34
Jan-07-2022,2740.34,Jan-10-2022,2773.39
Jan-10-2022,2773.39,Jan-11-2022,2794.72
Jan-11-2022,2794.72,Jan-12-2022,2828.61
Jan-12-2022,2828.61,Jan-13-2022,2771.74
Jan-13-2022,2771.74,Jan-14-2022,2789.61
Jan-14-2022,2789.61,Jan-18-2022,2719.96
Jan-18-2022,2719.96,Jan-19-2022,2702.33
Jan-19-2022,2702.33,Jan-20-2022,2666.15
Jan-20-2022,2666.15,Jan-21-2022,2607.03
Jan-21-2022,2607.03,Jan-24-2022,2616.08
Jan-24-2022,2616.08,Jan-25-2022,2538.70
Jan-25-2022,2538.70,Jan-26-2022,2584.66
Jan-26-2022,2584.66,Jan-27-2022,2580.10
Jan-27-2022,2580.10,Jan-28-2022,2667.02
Jan-28-2022,2667.02,Jan-31-2022,2706.07
Jan-31-2022,2706.07,Feb-01-2022,2752.88
Feb-01-2022,2752.88,Feb-02-2022,2960.00
Feb-02-2022,2960.00,Feb-03-2022,2861.80
Feb-03-2022,2861.80,Feb-04-2022,2865.86
Feb-04-2022,2865.86,Feb-07-2022,2784.02
Feb-07-2022,2784.02,Feb-08-2022,2787.98
Feb-08-2022,2787.98,Feb-09-2022,2831.84
Feb-09-2022,2831.84,Feb-10-2022,2772.40
Feb-10-2022,2772.40,Feb-11-2022,2685.65
Feb-11-2022,2685.65,Feb-14-2022,2710.52
Feb-14-2022,2710.52,Feb-15-2022,2732.17
Feb-15-2022,2732.17,Feb-16-2022,2754.76
Feb-16-2022,2754.76,Feb-17-2022,2650.78
,,,
,,,